ABS 	data_type       	    #ABS (absolute), REL (tangential), DIF (differential coorinates) or CPV (camera pointing vector)
Triton 	moon_entry         	    #Target body
0		time_entry             	#First time entry
3		amount_time_entries  	#Amount of time entries
DATE    time_type          	    #JD, MJD, J2000, DATE, MINsinceJDaddingtheJD
utc		time_scale		        #time scale,lower case
0		time_delta          	#hours away from standard time scale (i.e. utc-3 is -3)
3		RA_entry           	    #First RA or X entry
6		DEC_entry             	#First DEC or Y entry
1		number_observatories  	#Amount of observatories, needs extra definition which one if 1
286		observatory       	    #Ignored if more than 1 observatory
0		observatory_entrace	    #Ignored if 1 observatory
8		relative_body_entry  	#Ignored if ABS, can either be a name or entry position
False	process_relative        #Switch for processing relative observations or not
J2000   Epoch of equinox        #J2000, B1950
Neptune central_body            #name or number
2020 10 24.583229 23 18 23.4751 -05 40 59.523 
2020 10 24.583866 23 18 23.4697 -05 40 59.564 
2020 10 24.584502 23 18 23.4674 -05 40 59.586 
2020 10 24.585139 23 18 23.4636 -05 40 59.610 
2020 10 24.585775 23 18 23.4626 -05 40 59.610 
2020 10 24.587049 23 18 23.4562 -05 40 59.667 
2020 10 24.588322 23 18 23.4505 -05 40 59.650 
2020 10 24.588958 23 18 23.4496 -05 40 59.698 
2020 10 24.589595 23 18 23.4452 -05 40 59.709 
2020 10 24.590231 23 18 23.4447 -05 40 59.714 
2020 10 24.590868 23 18 23.4418 -05 40 59.737 
2020 10 24.591505 23 18 23.4390 -05 40 59.705 
2020 10 24.592141 23 18 23.4361 -05 40 59.778 
2020 10 24.592778 23 18 23.4330 -05 40 59.772 
2020 10 24.593414 23 18 23.4298 -05 40 59.821 
2020 10 24.594051 23 18 23.4287 -05 40 59.798 
2020 10 24.594687 23 18 23.4253 -05 40 59.797 
2020 10 24.595324 23 18 23.4231 -05 40 59.828 
2020 10 24.595961 23 18 23.4183 -05 40 59.864 
2020 10 24.597234 23 18 23.4152 -05 40 59.896 
2020 10 24.597859 23 18 23.4155 -05 40 59.882 
2020 10 24.598495 23 18 23.4098 -05 40 59.921 
2020 10 24.599132 23 18 23.4069 -05 40 59.883 
2020 10 24.599769 23 18 23.4048 -05 40 59.927 
2020 10 24.600405 23 18 23.4028 -05 40 59.955 
2020 10 24.601042 23 18 23.3982 -05 40 59.976 
2020 10 24.602060 23 18 23.3947 -05 41  0.010 
2020 10 24.602697 23 18 23.3924 -05 41  0.007 
2020 10 24.603333 23 18 23.3889 -05 40 59.994 
2020 10 24.603970 23 18 23.3857 -05 41  0.050 
2020 10 24.604606 23 18 23.3833 -05 41  0.027 
2020 10 24.605243 23 18 23.3805 -05 41  0.072 
2020 10 24.605880 23 18 23.3800 -05 41  0.140 
2020 10 24.606516 23 18 23.3749 -05 41  0.112 
2020 10 24.607153 23 18 23.3729 -05 41  0.126 
2020 10 24.607789 23 18 23.3691 -05 41  0.123 
2020 10 24.608426 23 18 23.3691 -05 41  0.195 
2020 10 24.609063 23 18 23.3665 -05 41  0.143 
2020 10 24.609687 23 18 23.3635 -05 41  0.196 
2020 10 24.611597 23 18 23.3555 -05 41  0.254 
2020 10 24.612234 23 18 23.3518 -05 41  0.253 
2020 10 24.612963 23 18 23.3512 -05 41  0.237 
2020 10 24.613600 23 18 23.3461 -05 41  0.257 
2020 10 24.614236 23 18 23.3426 -05 41  0.308 
2020 10 24.614861 23 18 23.3404 -05 41  0.307 
2020 10 24.615498 23 18 23.3397 -05 41  0.294 
2020 10 24.616134 23 18 23.3353 -05 41  0.360 
2020 10 24.616771 23 18 23.3347 -05 41  0.351 
2020 10 24.617407 23 18 23.3316 -05 41  0.403 
2020 10 24.618044 23 18 23.3274 -05 41  0.415 
2020 10 24.618681 23 18 23.3268 -05 41  0.408 
2020 10 24.619954 23 18 23.3196 -05 41  0.437 
2020 10 24.620590 23 18 23.3163 -05 41  0.438 
2020 10 24.692095 23 18 23.0198 -05 41  2.222 
2020 10 24.692384 23 18 23.0187 -05 41  2.180 
2020 10 24.692674 23 18 23.0192 -05 41  2.186 
2020 10 24.692963 23 18 23.0181 -05 41  2.190 
2020 10 24.693252 23 18 23.0145 -05 41  2.197 
2020 10 24.693542 23 18 23.0136 -05 41  2.210 
2020 10 24.693831 23 18 23.0138 -05 41  2.232 
2020 10 24.694120 23 18 23.0109 -05 41  2.269 
2020 10 24.694410 23 18 23.0133 -05 41  2.211 
2020 10 24.694699 23 18 23.0080 -05 41  2.277 
2020 10 24.694988 23 18 23.0074 -05 41  2.268 
2020 10 24.695278 23 18 23.0080 -05 41  2.304 
2020 10 24.695567 23 18 23.0076 -05 41  2.264 
2020 10 24.695856 23 18 23.0073 -05 41  2.304 
2020 10 24.696146 23 18 23.0038 -05 41  2.261 
2020 10 24.696435 23 18 23.0025 -05 41  2.262 
2020 10 24.696725 23 18 23.0014 -05 41  2.284 
2020 10 24.697014 23 18 22.9989 -05 41  2.307 
