Seconds since J2000,RA ECLIPJ2000 [rad],DEC ECLIPJ2000 [rad],O-C RA ECLIPJ2000 [rad],O-C DEC ECLIPJ2000 [rad]
210127288.1842448,-0.7361058500401185,-0.003691296093392027,-1.7379331307409984e-09,2.809714642060257e-07
210128449.14104462,-0.7361112797399132,-0.003690639501090686,3.972296875875969e-07,7.03023148923218e-08
210128725.18904454,-0.7361130075382902,-0.0036902263604697556,5.337212249933998e-08,2.769708599419281e-07
210132270.18104285,-0.7361305377705584,-0.0036878167027982935,2.2417598655177784e-07,2.8391269760522087e-08
210132450.15224382,-0.7361316773868928,-0.0036873126534330866,-2.04949204274385e-08,3.972433698065832e-07
210132690.1714428,-0.7361329412451018,-0.0036876293170777,-9.138616252624132e-08,-9.974936202505544e-08
210135699.2242432,-0.7361481380440763,-0.003684916074140115,-3.906111446516647e-07,3.518173041843972e-07
210135880.14584216,-0.7361483662879541,-0.003685076929009798,2.7330880381093436e-07,5.4999522683136376e-08
210137629.14104286,-0.7361571551563476,-0.003683385822212893,8.72555993014501e-08,4.325469356572173e-07
210138365.1826427,-0.7361602897442224,-0.003683253592085526,5.609117124105722e-07,1.263274209328466e-08
210138589.21784166,-0.736161300119868,-0.0036833309505001984,6.473462060840873e-07,-2.3268465152619447e-07
210221551.18902704,-0.7365279143805495,-0.00364074207797584,1.445723686321898e-07,-1.6261503478845474e-07
210221787.147426,-0.7365285202730069,-0.0036407509745316263,5.339879394217206e-07,-2.2638797534443172e-07
210221966.168227,-0.736529705192485,-0.003640410741000904,1.0408164186070934e-07,7.249105089032065e-08
210224307.17622656,-0.7365392526065874,-0.003640187824329937,4.192661063884273e-07,-2.226722634990179e-07
210224547.19542652,-0.7365403034704943,-0.003639865232682147,3.78419444668765e-07,4.923581894619722e-08
210224907.22422543,-0.7365420705898307,-0.003639551704697744,1.2588906639354747e-07,2.8760646610635765e-07
210227731.20822492,-0.7365539158849264,-0.0036397969593885988,1.4127931580176778e-07,-5.100767494509856e-07
210227971.14102587,-0.7365556503567958,-0.003639381898470594,-5.871608728114097e-07,-1.388393455971533e-07
210298710.19061184,-0.7368494393225846,-0.0036524556340655216,2.8107482352712765e-07,-1.856562136808189e-07
210299250.19061172,-0.7368523554137001,-0.003652582642951374,-2.4636849960124607e-07,-5.076542780590998e-08
210299430.1618127,-0.7368530256133717,-0.003652357038616581,-1.197638451744254e-07,2.6246850967246924e-07
210302791.2082111,-0.7368675495232399,-0.003654028777756727,3.0071262102637775e-07,2.5863642266407694e-07
210302970.14261207,-0.7368688020136706,-0.0036540590561997396,-1.528887632051834e-07,3.1881936825382123e-07
210303150.200211,-0.7368697820572248,-0.0036543398626232185,-3.2870466259993236e-07,1.2921212387247485e-07
210307410.15221122,-0.7368886064065696,-0.0036563048336493713,-3.5573631707030984e-08,3.7190568419288514e-07
210307590.2098102,-0.7368892894230066,-0.0036565538033833792,9.309003912161273e-08,2.1837981788305413e-07
210307950.15221113,-0.736891313077066,-0.003656855651000802,-3.071482908012513e-07,1.0785272255191616e-07
210311971.2082094,-0.7369091636390368,-0.0036593374025446733,4.955717880505972e-08,-1.883080009944249e-07
210312210.19060937,-0.7369103383363298,-0.0036593315887108427,-3.914244051106408e-08,-4.9759090234042375e-08
210312510.1714093,-0.7369115152047732,-0.003659218136961051,1.4776030066165902e-07,2.3076680807357017e-07
210316290.17140862,-0.7369286327627649,-0.0036607694082412506,2.6715928980181047e-07,8.294546899084883e-07
210316590.15220955,-0.7369300559962098,-0.0036616512747864754,2.1576990061333845e-07,1.218272815801079e-07
210316770.20980853,-0.7369305942706451,-0.0036612440210451068,5.01179701517529e-07,6.339252220490324e-07
