	id	timeframe	start_sec	end_sec	n_obs	duration_hours	residual_ra_mean	residual_ra_std	residual_ra_rms	residual_dec_mean	residual_dec_std	residual_dec_rms	start_dt	end_dt	rmse_ra_id	rmse_dec_id	std_ra_id	std_dec_id	weight_rmse_ra_id	weight_rmse_dec_id	weight_std_ra_id	weight_std_dec_id	residual_ra_rms_tf_id	residual_dec_rms_tf_id	weight_std_ra	weight_std_dec	weight_rmse_ra	weight_rmse_dec	weight_rmse_tf_id_ra	weight_rmse_tf_id_dec	mean_weight_std	mean_weight_rmse	weight_std_ra_scaled	weight_std_dec_scaled	mean_weight_std_scaled	weight_rmse_ra_scaled	weight_rmse_dec_scaled	mean_weight_rmse_scaled	weight_rmse_ra_id_scaled	weight_rmse_dec_id_scaled	mean_weight_rmse_id_scaled	weight_std_ra_id_scaled	weight_std_dec_id_scaled	mean_weight_std_id_scaled	weight_rmse_ra_tf_id_scaled	weight_rmse_dec_tf_id_scaled	mean_weight_rmse_tf_id_scaled	ra_diff_id	dec_diff_id	ra_diff	dec_diff
0	119_nm0017	0	-4.27902258e+08	-4.27902258e+08	1	0.00000000e+00	-5.31351686e-02	9.15895718e-01	5.31351686e-02	-3.21082552e-01	3.24903190e-01	3.21082552e-01	1986-06-10 22:15:41.936700	1986-06-10 22:15:41.936700	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	2.30196747e-01	3.76222151e-01	5.07175434e+10	4.03034585e+11	1.50690593e+13	1.50690593e+13	8.02882337e+11	3.00581013e+11	2.26876064e+11	1.50690593e+13	5.07175434e+10	4.03034585e+11	2.26876064e+11	1.50690593e+13	1.50690593e+13	1.50690593e+13	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	8.02882337e+11	3.00581013e+11	5.51731675e+11	-3.62649403e-03	7.90526086e-04	-8.62760549e-01	-3.82063778e-03
1	119_nm0017	1	-3.92227232e+08	-3.92226787e+08	2	1.23360001e-01	1.42468699e-01	9.15895718e-01	6.63121266e-01	7.78844962e-01	3.24903190e-01	8.12022485e-01	1987-07-28 19:59:28.495376	1987-07-28 20:06:52.591378	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	5.35189795e-01	6.21692117e-01	5.07175434e+10	4.03034585e+11	9.67529812e+10	9.67529812e+10	1.48536990e+11	1.10077750e+11	2.26876064e+11	9.67529812e+10	3.58627189e+10	2.84988488e+11	1.60425604e+11	6.84146891e+10	6.84146891e+10	6.84146891e+10	1.81382477e+11	1.61678401e+11	1.71530439e+11	1.78194821e+11	1.62272627e+11	1.70233724e+11	1.05031513e+11	7.78367237e+10	9.14341183e+10	-3.62649403e-03	7.90526086e-04	-2.52774452e-01	4.87119295e-01
2	119_nm0017	2	-3.90243444e+08	-3.90243444e+08	1	0.00000000e+00	-1.13604956e-01	9.15895718e-01	1.13604956e-01	8.92068166e-03	3.24903190e-01	8.92068166e-03	1987-08-20 19:02:35.694857	1987-08-20 19:02:35.694857	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	2.60431640e-01	2.20141215e-01	5.07175434e+10	4.03034585e+11	3.29651994e+12	3.29651994e+12	6.27281924e+11	8.77905050e+11	2.26876064e+11	3.29651994e+12	5.07175434e+10	4.03034585e+11	2.26876064e+11	3.29651994e+12	3.29651994e+12	3.29651994e+12	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	6.27281924e+11	8.77905050e+11	7.52593487e+11	-3.62649403e-03	7.90526086e-04	-8.02290761e-01	-3.15982508e-01
3	119_nm0017	3	-3.90070576e+08	-3.90070576e+08	1	0.00000000e+00	-5.62421455e-01	9.15895718e-01	5.62421455e-01	1.40298730e-01	3.24903190e-01	1.40298730e-01	1987-08-22 19:03:43.950814	1987-08-22 19:03:43.950814	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	4.84839890e-01	2.85830240e-01	5.07175434e+10	4.03034585e+11	1.34501308e+11	1.34501308e+11	1.80989583e+11	5.20755565e+11	2.26876064e+11	1.34501308e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11	1.34501308e+11	1.34501308e+11	1.34501308e+11	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	1.80989583e+11	5.20755565e+11	3.50872574e+11	-3.62649403e-03	7.90526086e-04	-3.53474262e-01	-1.84604460e-01
4	119_nm0017	4	-3.88086459e+08	-3.88086459e+08	1	0.00000000e+00	2.87447313e-01	9.15895718e-01	2.87447313e-01	-2.96978406e-02	3.24903190e-01	2.96978406e-02	1987-09-14 18:12:21.198434	1987-09-14 18:12:21.198434	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	3.47352819e-01	2.30529795e-01	5.07175434e+10	4.03034585e+11	5.14912887e+11	5.14912887e+11	3.52621357e+11	8.00564152e+11	2.26876064e+11	5.14912887e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.14912887e+11	5.14912887e+11	5.14912887e+11	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	3.52621357e+11	8.00564152e+11	5.76592754e+11	-3.62649403e-03	7.90526086e-04	-6.28448405e-01	-2.95205350e-01
5	119_nm0017	5	-3.88000893e+08	-3.88000893e+08	1	0.00000000e+00	3.59781423e-01	9.15895718e-01	3.59781423e-01	-4.12974951e-01	3.24903190e-01	4.12974951e-01	1987-09-15 17:58:26.574436	1987-09-15 17:58:26.574436	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	3.83519874e-01	4.22168350e-01	5.07175434e+10	4.03034585e+11	3.28679635e+11	3.28679635e+11	2.89250767e+11	2.38714569e+11	2.26876064e+11	3.28679635e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11	3.28679635e+11	3.28679635e+11	3.28679635e+11	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	2.89250767e+11	2.38714569e+11	2.63982668e+11	-3.62649403e-03	7.90526086e-04	-5.56114295e-01	8.80717604e-02
6	119_nm0017	6	-3.87570115e+08	-3.87570115e+08	1	0.00000000e+00	-4.45363287e-02	9.15895718e-01	4.45363287e-02	1.56666975e-01	3.24903190e-01	1.56666975e-01	1987-09-20 17:38:04.878387	1987-09-20 17:38:04.878387	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	2.25897327e-01	2.94014362e-01	5.07175434e+10	4.03034585e+11	2.14497107e+13	2.14497107e+13	8.33735097e+11	4.92167777e+11	2.26876064e+11	2.14497107e+13	5.07175434e+10	4.03034585e+11	2.26876064e+11	2.14497107e+13	2.14497107e+13	2.14497107e+13	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	8.33735097e+11	4.92167777e+11	6.62951437e+11	-3.62649403e-03	7.90526086e-04	-8.71359389e-01	-1.68236215e-01
7	119_nm0017	7	-3.87483370e+08	-3.87483370e+08	1	0.00000000e+00	8.15688608e-01	9.15895718e-01	8.15688608e-01	-3.35340499e-01	3.24903190e-01	3.35340499e-01	1987-09-21 17:43:50.478403	1987-09-21 17:43:50.478403	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	6.11473466e-01	3.83351124e-01	5.07175434e+10	4.03034585e+11	6.39442463e+10	6.39442463e+10	1.13787625e+11	2.89505477e+11	2.26876064e+11	6.39442463e+10	5.07175434e+10	4.03034585e+11	2.26876064e+11	6.39442463e+10	6.39442463e+10	6.39442463e+10	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	1.13787625e+11	2.89505477e+11	2.01646551e+11	-3.62649403e-03	7.90526086e-04	-1.00207110e-01	1.04373090e-02
8	119_nm0017	8	-3.87310709e+08	-3.87310709e+08	1	0.00000000e+00	-1.07110502e-01	9.15895718e-01	1.07110502e-01	3.80069440e-01	3.24903190e-01	3.80069440e-01	1987-09-23 17:41:31.374350	1987-09-23 17:41:31.374350	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	2.57184413e-01	4.05715594e-01	5.07175434e+10	4.03034585e+11	3.70839643e+12	3.70839643e+12	6.43222129e+11	2.58468049e+11	2.26876064e+11	3.70839643e+12	5.07175434e+10	4.03034585e+11	2.26876064e+11	3.70839643e+12	3.70839643e+12	3.70839643e+12	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	6.43222129e+11	2.58468049e+11	4.50845089e+11	-3.62649403e-03	7.90526086e-04	-8.08785215e-01	5.51662499e-02
9	119_nm0017	9	-3.87225701e+08	-3.87225701e+08	1	0.00000000e+00	-1.86028619e-01	9.15895718e-01	1.86028619e-01	3.24538063e-01	3.24903190e-01	3.24538063e-01	1987-09-24 17:18:18.606366	1987-09-24 17:18:18.606366	4.07258324e-01	4.31361749e-01	4.10884818e-01	4.30571223e-01	2.56513559e+11	2.28647788e+11	2.52005533e+11	2.29488150e+11	2.96643472e-01	3.77949906e-01	5.07175434e+10	4.03034585e+11	1.22939302e+12	1.22939302e+12	4.83482407e+11	2.97839150e+11	2.26876064e+11	1.22939302e+12	5.07175434e+10	4.03034585e+11	2.26876064e+11	1.22939302e+12	1.22939302e+12	1.22939302e+12	2.56513559e+11	2.28647788e+11	2.42580673e+11	2.52005533e+11	2.29488150e+11	2.40746842e+11	4.83482407e+11	2.97839150e+11	3.90660778e+11	-3.62649403e-03	7.90526086e-04	-7.29867099e-01	-3.65126973e-04
