id	weight_ra	weight_dec
119_nm0017	5.92970088	6.20961123
286_nm0084	1424.20311961	1164.41789737
327_nm0019	138.22421527	135.89839870
327_nm0082	264.30573759	350.04755272
337_nm0015	551.70121027	489.35075251
337_nm0019	314.66102787	356.39742068
337_nm0085	556.55695811	561.20056857
337_nm0086	911.64752129	611.49490239
337_nm0088	755.47753921	1137.64557668
673_nm0079	313.83967756	335.98078281
689_nm0007	86.72994320	78.70500580
755_nm0081	82.58565722	395.76703779
874_nm0013	106.08895364	129.47705566
